"Sergey_Martynov,Что это было? Канделаки и Захарова приехали в «город бесов» тушить пожар. «Город бесов» это Екатеринбург. Так назвал его Соловьев за «мерзотную либероту». Дамы оправдывали телеведущего «на эмоциях», как говорит моя приятельница, «по красоте». Самая дорогая площадка Екатеринбурга с золочёнными интерьерами Teatro Veneziano. Самая дорогая публика - элита Урала: бизнесмены, лидеры мнений, топовые блогеры с миллионами подписчиков. Дорогое шампанское на препати, брендовые сумочки у дам, лощеные мужчины. 

Канделаки выступала первая, выглядела эффектно, смущала фотографов торжественными, но  бликующими бантами в ушах. Учила присутствующих лидерским качествам, которых, по ее мнению, не хватает людям с российским менталитетом. Вступилась за Соловьева: «Все мы сейчас находимся в таком эмоциональном состоянии, ТВ не исключение, там не роботы работают. Я не знаю контекста, не интересовалась, с чего это и к чему это пришло. Но результат эмоционального взрыва от этой фразы мне очевиден».

Ответила Тина Гивиевна и бывшему мэру Екатеринбурга Евгению Ройзману, который написал пост в соцсетях про нее, а после быстро удалил: «Ну ты уж написал, держись, мужик, че стираешь? Я не стала про это писать: боже, Ройзман, ты в себе?! Или ты вчера вечером отдыхал, а потом с утра все подтер?». А позже назвала Екатеринбург не «столицей Урала», а «сибирской столицей», чем изрядно удивила гостей.

Организатор битвы ораторов Табриз Шахиди назвал выступление спикеров «революционным событием». За день до этого Тина Канделаки выступила перед 5 тысячами сотрудниками «Сима-ленда». В кулуарах поговаривали, что гонорар телеведущей оплатил владелец уральского аналога «Озона», «архангел» региона и «региональный олигарх», «самом экстравагантный бизнесмен» Свердловской области Андрея Симановский. А с лидерами мнений дамы встретились по государственной необходимости.

«Сима-ленд» сравнивают с Северной Кореей, в интернете гуглится любопытная информация, мол, рабочий день в компании начинается с гимна России. Параллельно сотрудникам показывают видео с кадрами русской природы, заводов, запуска ракет и Владимиром Путиным.

Часть с Захаровой - в продолжении.",1
"Nikolay_Dedik,цепочка следующая: Аллах-мусульманство-шахиды-взрыв-теория Большого взрыва (создания Вселенной)",1
"Evgen_Blyahman,да потому что шахидом/кой там кто угодно мог быть",1
"Sergey_Pankin,молодых шахидов, спонсирую ксасами бесплатно :)",1
"Dmitry_Chernyaev,комнатная квартира посуточно, улица Бурхана Шахиди , 1/15
   Район: Вахитовский
  Цена: 1500 рублей в сутки
  Арендодатель: Артур Станиславович
  Телефон: +7-903-344-46-66",1
"Maria_Duk,Прелестная новинка от Solo by Endea! Юбка - великолепная! Цвет -изумительный! Фасон - идеальный! Размерный ряд - полный! Срочно на примерку! 
 
Юбка: 
Артикул: 04810-2410/86 
Цвет: хвоя 
Размеры: 44, 46, 48, 50, 52 
Цена: 6800 руб. 
Состав: 55% вискоза 42% п/э 3% эластан 
 
Юбка А-силуэта слегка расклёшенная, с удобными карманами. Цвет очень богатый, не капризный. Верх подойдет почти любой: белый, розовый, желтый, черный, бежевый, зеленый, даже голубой. Блузы, и маечки, топы и свитшоты. Вы будете неотразимы! 

— 
 
 Для наших подписчиков действует скидка —20% по промокоду PS22 (кроме товаров, которые уже со скидкой) 
 
Ждем вас по адресу: ул. Бурхана Шахиди 17, ТЦ «Модная семья», 2 этаж.  
 
 По размерам, наличию и другим вопросам пишите только в сообщения сообщества: https://vk.cc/azxUNs 
⠀ 
Весь каталог магазина тут ► #p_stylekazan 
Больше юбок тут ► #юбки_p_stylekazan",1
"Yulia_Titova,Сам то что тогда не пошёл воевать?это не Исламская война,и шахидом там никто не будет,ни один погибший мусульманин не представлял там интересы своей религии!",1
"Anna_Balakireva,Остров Нил
Природный мост Ховрах на острове Нил, Индия
В дальневосточных районах Бенгальского залива лежат Андаманские острова. Хотя архипелаг ближе к Юго-Восточной Азии, чем к Индийскому субконтиненту, большинство островов в цепи принадлежат Индии, включая тот, который мы здесь посещаем. Остров Нил (также пишется как Остров Нила) не был заселен до 1960-х годов, и он до сих пор не так известен, как Хейвлок, одна из самых популярных туристических гаваней Андамана. Всего чуть более 5 квадратных миль остров Нил небольшой и считается довольно непринужденным, но он упакован в большое великолепие. Мы смотрим на природный мост Ховрах, одну из живописных достопримечательностей этого места и отличную фотосессию как во время прилива, так и во время отлива.
Википедия: остров Нил, официально известный как Шахид Двип, является островом Андаманских островов, расположенным в архипелаге Ричи. Входит в состав Южно-Андаманского административного округа, входящего в состав индийской союзной территории Андаманских и Никобарских островов. Остров находится в 36 км (22 мили) к северо-востоку от Порт-Блэра.",1
"DELETED_,Тротуар около магазина Ашан на Бурхана Шахиди. Центр города, Вахитовский район",1
"Vladimir_Pechen,ты смертник? Ты хоть понимаешь,что будет ответка и в итоге не будет планеты? Или вам уже всем там пояса шахидов одели?",1
"Dmitry_Rubanov,БИРО | Библиотека роста и карьеры 
Адрес: Московский проспект, 150 
м.Московские ворота, м.Электросила",1
"Margarita_Fedoseeva,Что бы руки оторвало нахуй, шахиды",1
"Alexey_Uskov,Без шахид такси  не обошлос",1
"Albert_Alexandrovich,шахиды ИНШАЛЛА",1
"Anna_Boltenko,Охуенный ""контент""! Аж лопаюсь от счастья",1
"Anna_Golubkova,Экстремизм- первый шаг к терроризму. 
 
Экстремизм – это сложная и неоднородная форма выражения ненависти и вражды. Различают следующие виды экстремизма: 
• политический 
• национальный 
• религиозный 
Национальный экстремизм выступает под лозунгами защиты «своего 
народа», его экономических интересов, культурных ценностей, как правило, в ущерб представителей других национальностей, проживающих на этой же территории. 
Под религиозным экстремизмом понимают нетерпимость по отношению к инакомыслящим представителям той же или другой религий. В последние годы обострилась проблема исламского экстремизма. 
Политический экстремизм – это движения или течения против 
существующего конституционного строя. 
 
К причинам возникновения экстремизма можно отнести следующие: 
 
-это большое имущественное расслоение населения оно приводит к тому, что общество перестает функционировать как целостный организм, 
объединенный общими целями, идеями, ценностями. 
-это нарастание социальной напряженности. 
-это снижение идеологической составляющей в воспитательном процессе, что привело к утрате нравственных ценностей. 
-это бездуховность, отсутствие четких представлений об истории и 
перспективах развития страны, утрата чувства сопричастности и 
ответственности за судьбу родины. 
 
Социальную базу экстремистских групп составляют, люди не сумевшие адаптироваться к новым условиям жизни. Молодежь не способная критически подходить к содержанию публикаций в средствах массовой информации, ввиду отсутствия жизненного опыта оказались наиболее подверженные этому влиянию. Это очень хорошая среда для экстремистских групп. Большинство молодежных экстремистских группировок носят неформальный характер. Ряд их членов имеют смутное представление об идеологической подоплеке экстремистских движений. Громкая фразеология, внешняя атрибутика и другие аксессуары, возможность почувствовать себя членом своеобразного «тайного общества», имеющего право безнаказанно творить расправу над не угодными группе лицами, все это привлекает молодежь. 
От того, кто выиграет «битву за умы и сердца» подрастающего поколения, во многом зависит будущее страны. Только усилия всего общества могут создать надежный заслон распространению экстремизма. 
 
На сегодняшний день экстремизм является реальной угрозой национальной безопасности Российской Федерации. Наблюдается 
увеличение неформальных молодежных движений экстремистской направленности. В настоящее время членами неформальных молодежных организаций (группировок) экстремистско-националистической направленности являются молодые люди в возрасте от 14 до 30 лет, нередко - несовершеннолетние лица 14 – 18 лет. 
 
Терроризм - это сознательное использование нелегитимного насилия (чаще всего с заведомой ориентацией на зрелищный, драматический эффект) со стороны какой – то группы, стремящейся тем самым достичь определенных целей заведомо недостижимых легитимным способом. 
Попробуем разобраться, что же такое терроризм и определить кто же за этим стоит! 
Терроризм (от латинского TERROR - страх, ужас) – насильственные действия преступных лиц с целью подрыва существующей власти, осложнения международных отношений, политических и экономических вымогательств у государств и корпораций. Терроризм – это крайнее проявление экстремизма явление, связанное с насилием, угрожающее жизни и здоровью граждан. 
Идеологический терроризм. Наличие двух лагерей (власть и недовольные ею - террористы). 
 
Этнический терроризм. Этнические меньшинства рассматривают терроризм, как единственный путь заявить о своих требованиях в условиях, когда полноправное политическое участие в определении своей судьбы иным способом невозможно. Этнотерроризм может иметь расовый характер. 
 
Религиозный терроризм. Выступают религиозные меньшинства или 
активный авангард, познавший враждебное влияние властей. Основа 
принижения «неверных», представителей иной религии. Самые крайние 
формулировки «избранные», «спасенные», «проклятые». 
Индивидуальный террор. Это индивид в независимости его идеологической ориентации, наносящий вред обществу. 
 
Терроризм превратился в одну из наиболее опасных по своим масштабам, непредсказуемости и последствиям общественно - политических проблем. 
 
Сегодня терроризм - это не только диверсанты-одиночки, угонщики 
самолетов и шахиды-камикадзе. Современный терроризм – это мощные разветвленные и хорошо организованные структуры. В настоящее время в мире насчитывается около 500 нелегальных террористических организаций. 
 
Специалисты приходят к выводу, что главные причины популярности экстремизма среди молодежи - экономический кризис и развал системы образования. Но где истоки той ненависти, которая является основной движущей силой? Вот мнение одного исследователя: сложилось двухуровневое общество. На первом уровне небольшой и благополучный слой власти и бизнеса, на втором уровне остальное население, лишенное перспектив. В сознание большинства населения внедряются ложные и алчные цели, иллюзии легкого достижения личного успеха, однако реальность такова, что большинству придется до конца своих дней влачить жалкое существование. Здесь и лежат корни той ненависти, которая все больше охватывает общество. Именно эта молодежь, перед которой закрыта дорога в достойное будущее, становится выразителем этой ненависти... 
Мы еще раз убедились в том, что экстремизм, терроризм – это действительно жестокость, основанная на ненависти и злобе, а порой и глупости, подчиненной слепой вере. 
 
""Пройдя сквозь ад, останься человеком"". 
Зинаида Юрчикова. 
 
Пройдя сквозь ад, останься человеком 
И не утрать душевной доброты. 
Не прикрывайся временем да веком 
И светлые не загуби мечты. 
Все вытерпи потери и разлуки, 
Утраченную веру обрети, 
Преодолей боль тела, сердца муки. 
Идти по жизни надо не ползти! 
Когда вдруг слёзы душу омывают, 
Ты слабости минутной не стыдись. 
На свете судьбы разные бывают: 
Твоя из трудных. Побеждай! Борись! 
Неси ты гордо имя человека! 
Не разучись надеяться, любить. 
Живи мечтою будущего века 
И верь, тогда ты сможешь победить!",1
